model,accuracy,f1,precision,recall
MAJORITY_BASELINE,0.34577387486278816,0.34577387486278816,,
LogisticRegression,0.7612513721185511,0.7637199862446606,0.7676316559657166,0.761251372118551
DecisionTree,0.7299670691547749,0.7378408297274471,0.7637724885525781,0.7299670691547749
RandomForest,0.7402122210025612,0.7435107339667015,0.7490491484982036,0.7402122210025612
