model,rmse,mae,r2
GBT,0.023138284037937253,0.016034055630441517,0.7908354415253729
RandomForest,0.024591670785604085,0.01774508109205751,0.7637336486870352
LinearRegression,0.02497455169531946,0.018616745444285182,0.7563192602100817
MEAN_BASELINE,0.050592813155463115,0.03995154914142074,-7.96503717448438e-06
RandomForest_5foldCV(best),,,0.7966839063556677
